position,x,y,curvature,friction,stiffness,next_stiffness,resistance,velocity,push_force,buckling_risk,kickback_score,controller_action,controller_reason
0.0,0.0,0.0,0.0004350276026843783,0.2,0.5,0.55,0.2543502760268438,3.188901917150292,0.12543502760268438,0.3632177857195953,0.2624516319530502,INCREASE,Low curvature and reduced velocity indicate poor pushability
0.32181861784442767,0.20040080160320642,0.2518069528589115,0.0008703238548921287,0.2,0.55,0.5750000000000001,0.24963840047636737,3.2009259626426196,0.12496384004763675,0.34903743166561974,0.26024730081504954,INCREASE,Straight region permits increased mechanical support
0.6435240245928022,0.40080160320641284,0.5034692016129299,0.0017426417331909176,0.2,0.5750000000000001,0.6250000000000001,0.2548583986318024,3.1876106534102027,0.12548583986318024,0.3446485209775142,0.26268900707333476,INCREASE,Low curvature and reduced velocity indicate poor pushability
0.9650031840671001,0.6012024048096193,0.7548421689206603,0.0026189526369758483,0.2,0.6250000000000001,0.6750000000000002,0.2575882171659783,3.1806913784657973,0.12575882171659783,0.3331179333397065,0.26396315580539764,INCREASE,Low curvature and reduced velocity indicate poor pushability
1.2861434098969853,0.8016032064128257,1.0057815308447355,0.0035012654961931442,0.2,0.6750000000000002,0.7250000000000002,0.26226486958026946,3.168907014999227,0.12622648695802693,0.3222726187982702,0.2661416463497981,INCREASE,Low curvature and reduced velocity indicate poor pushability
1.6068325403525103,1.0020040080160322,1.2561433432465334,0.004391604057782346,0.2,0.7250000000000002,0.7750000000000002,0.26892214970783374,3.1522816438510355,0.12689221497078337,0.3121149761240789,0.2692333934192257,INCREASE,Low curvature and reduced velocity indicate poor pushability
1.9269591130908106,1.2024048096192386,1.5057841678124735,0.005292011681839675,0.2,0.7750000000000002,0.8250000000000003,0.27759814894345586,3.1308749181484865,0.1277598148943456,0.3026448645211348,0.2732464135399518,INCREASE,Low curvature and reduced velocity indicate poor pushability
2.246412539787042,1.402805611222445,1.7545611975896553,0.006204556008494831,0.2,0.8250000000000003,0.85,0.28833536711255653,3.1047816446775665,0.12883353671125566,0.29385965503905376,0.2781878854006904,INCREASE,Low curvature and reduced velocity indicate poor pushability
2.5650832806188,1.6032064128256514,2.0023323819090875,0.007131333454495899,0.2,0.85,0.85,0.3007730016356947,3.0750945745107594,0.13007730016356947,0.2918656249484012,0.2838782645974167,INCREASE,Low curvature and reduced velocity indicate poor pushability
2.8828630185718835,1.8036072144288577,2.248956550575345,0.008074473492479438,0.2,0.85,0.85,0.31350539214847245,3.0452863185108714,0.13135053921484727,0.2961714994167618,0.2896671010055163,INCREASE,Low curvature and reduced velocity indicate poor pushability
3.1996448335334975,2.0040080160320644,2.4942935372022426,0.00903614265859274,0.2,0.85,0.85,0.326487925891002,3.0154816503988906,0.1326487925891002,0.300510412375564,0.2955328406664616,INCREASE,Low curvature and reduced velocity indicate poor pushability
3.5153233761366898,2.2044088176352705,2.7382043015749282,0.010018548225286411,0.2,0.85,0.85,0.3397504010413666,2.985630753975415,0.13397504010413666,0.3048906958326667,0.3014877848642913,INCREASE,Low curvature and reduced velocity indicate poor pushability
3.8297950413169217,2.404809619238477,2.9805510509197877,0.011023941465677508,0.2,0.85,0.85,0.3533232097866464,2.955687134509876,0.13533232097866463,0.3093204703686053,0.30754421044401536,INCREASE,Low curvature and reduced velocity indicate poor pushability
4.142958141538035,2.6052104208416833,3.2211973599645995,0.012054620423837906,0.2,0.85,0.85,0.36723737572181175,2.9256075580059844,0.13672373757218118,0.31380765543738465,0.3137143851388513,INCREASE,Low curvature and reduced velocity indicate poor pushability
4.454713079640408,2.80561122244489,3.4600082896726154,0.013112932091463147,0.2,0.85,0.85,0.3815245832347525,2.8953520252489846,0.13815245832347525,0.31835997555534756,0.3200105782526539,INCREASE,Low curvature and reduced velocity indicate poor pushability
