position,x,y,curvature,friction,stiffness,next_stiffness,resistance,velocity,push_force,controller_action,controller_reason
0.0,0.0,0.0,0.0004350276026843783,0.2,0.5,0.55,0.2543502760268438,3.188901917150292,0.12543502760268438,INCREASE,Low curvature with reduced advancement velocity
0.32181861784442767,0.20040080160320642,0.2518069528589115,0.0008703238548921287,0.2,0.55,0.6000000000000001,0.24963840047636737,3.2009259626426196,0.12496384004763675,INCREASE,Low-curvature region permits greater support
0.6435240245928022,0.40080160320641284,0.5034692016129299,0.0017426417331909176,0.2,0.6000000000000001,0.6500000000000001,0.2511690590651001,3.197010005177785,0.12511690590651,INCREASE,Low curvature with reduced advancement velocity
0.9650031840671001,0.6012024048096193,0.7548421689206603,0.0026189526369758483,0.2,0.6500000000000001,0.7000000000000002,0.25461795532522224,3.188221548258585,0.1254617955325222,INCREASE,Low curvature with reduced advancement velocity
1.2861434098969853,0.8016032064128257,1.0057815308447355,0.0035012654961931442,0.2,0.7000000000000002,0.7500000000000002,0.2600151859543177,3.1745649136525733,0.1260015185954318,INCREASE,Low curvature with reduced advancement velocity
1.6068325403525103,1.0020040080160322,1.2561433432465334,0.004391604057782346,0.2,0.7500000000000002,0.8000000000000003,0.2673950507222793,3.1560798645382344,0.12673950507222795,INCREASE,Low curvature with reduced advancement velocity
1.9269591130908106,1.2024048096192386,1.5057841678124735,0.005292011681839675,0.2,0.8000000000000003,0.8500000000000003,0.2767961518639158,3.1328415222435058,0.12767961518639157,INCREASE,Low curvature with reduced advancement velocity
2.246412539787042,1.402805611222445,1.7545611975896553,0.006204556008494831,0.2,0.8500000000000003,0.9,0.28826150611468027,3.1049596537769424,0.12882615061146804,INCREASE,Low curvature with reduced advancement velocity
2.5650832806188,1.6032064128256514,2.0023323819090875,0.007131333454495899,0.2,0.9,0.9,0.3018386683629426,3.0725773455707728,0.13018386683629427,INCREASE,Low curvature with reduced advancement velocity
2.8828630185718835,1.8036072144288577,2.248956550575345,0.008074473492479438,0.2,0.9,0.9,0.31504262889471213,3.0417264901609946,0.13150426288947123,INCREASE,Low curvature with reduced advancement velocity
3.1996448335334975,2.0040080160320644,2.4942935372022426,0.00903614265859274,0.2,0.9,0.9,0.3285059972202984,3.010900973250709,0.13285059972202984,INCREASE,Low curvature with reduced advancement velocity
3.5153233761366898,2.2044088176352705,2.7382043015749282,0.010018548225286411,0.2,0.9,0.9,0.3422596751540098,2.9800492960060376,0.134225967515401,INCREASE,Low curvature with reduced advancement velocity
3.8297950413169217,2.404809619238477,2.9805510509197877,0.011023941465677508,0.2,0.9,0.9,0.3563351805194851,2.9491235333643515,0.13563351805194854,INCREASE,Low curvature with reduced advancement velocity
